_id,id,geo_point_2d,geo_shape,name,detalle
149,148,"19.40404596,-99.06982541","{""type"": ""Point"", ""coordinates"": [-99.06982541, 19.40404596]}",Agrícola Oriental,Metro A
150,149,"19.36118453,-99.15133238","{""type"": ""Point"", ""coordinates"": [-99.15133238, 19.36118453]}",Eje Central_1_3,Metro 12
151,150,"19.40213338,-99.18823957","{""type"": ""Point"", ""coordinates"": [-99.18823957, 19.40213338]}",Tacubaya_1,Metro Línea 1 correspondencia con línea 7 y línea 9.
152,151,"19.42543703,-99.13303971","{""type"": ""Point"", ""coordinates"": [-99.13303971, 19.42543703]}",Pino Suárez_1,Metro Línea 2 correspondencia con línea 1.
153,152,"19.49024062,-99.04635072","{""type"": ""Point"", ""coordinates"": [-99.04635072, 19.49024062]}",Río de los Remedios_1,Metro B
154,153,"19.476413,-99.131748","{""type"": ""Point"", ""coordinates"": [-99.131748, 19.476413]}",Potrero_1_2,Metro 3
155,154,"19.42189565,-99.17074084","{""type"": ""Point"", ""coordinates"": [-99.17074084, 19.42189565]}",Sevilla,Metro 1
156,155,"19.35319801,-99.14478779","{""type"": ""Point"", ""coordinates"": [-99.14478779, 19.35319801]}",General Anaya,Metro 2
157,156,"19.495315,-99.119141","{""type"": ""Point"", ""coordinates"": [-99.119141, 19.495315]}",Indios Verdes_1,Metro 3
158,157,"19.4814715,-99.11815882","{""type"": ""Point"", ""coordinates"": [-99.11815882, 19.4814715]}",La Villa - Basílica,Metro 6
159,158,"19.37046623,-99.15766239","{""type"": ""Point"", ""coordinates"": [-99.15766239, 19.37046623]}",Parque de los Venados,Metro 12
160,159,"19.41290022,-99.18207049","{""type"": ""Point"", ""coordinates"": [-99.18207049, 19.41290022]}",Juanacatlán,Metro 1
161,160,"19.37938304,-99.13987398","{""type"": ""Point"", ""coordinates"": [-99.13987398, 19.37938304]}",Nativitas,Metro 2
162,161,"19.46290002,-99.13051844","{""type"": ""Point"", ""coordinates"": [-99.13051844, 19.46290002]}",Misterios,Metro 5
163,162,"19.42909974,-99.11989689","{""type"": ""Point"", ""coordinates"": [-99.11989689, 19.42909974]}",Candelaria,Metro Línea 1 correspondencia con línea 4.
164,163,"19.3614882,-99.18895841","{""type"": ""Point"", ""coordinates"": [-99.18895841, 19.3614882]}",Barranca del Muerto,Metro 7
165,164,"19.34651696,-99.18053627","{""type"": ""Point"", ""coordinates"": [-99.18053627, 19.34651696]}",Miguel Ángel de Quevedo,Metro 3
166,165,"19.44300109,-99.13107634","{""type"": ""Point"", ""coordinates"": [-99.13107634, 19.44300109]}",Lagunilla,Metro B
167,166,"19.30328601,-99.05831337","{""type"": ""Point"", ""coordinates"": [-99.05831337, 19.30328601]}",Olivos,Metro 12
168,167,"19.43079953,-99.11457539","{""type"": ""Point"", ""coordinates"": [-99.11457539, 19.43079953]}",San Lázaro_1_5,Metro Línea 1 correspondencia con línea B.
169,168,"19.39072824,-99.04651165","{""type"": ""Point"", ""coordinates"": [-99.04651165, 19.39072824]}",Tepalcates_1,Metro A
170,169,"19.432602,-99.131879","{""type"": ""Point"", ""coordinates"": [-99.131879, 19.432602]}",Zócalo,Metro 2
171,170,"19.41608763,-99.09070373","{""type"": ""Point"", ""coordinates"": [-99.09070373, 19.41608763]}",Gómez Farías,Metro 1
